,股票代號,公司名稱,上市日期,股價,SMA 10,SMA 50,SMA 100,SMA 250,RSI 10,RSI 14,RSI 20,MACD 8/17,MACD 12/25,成交量
0,00812.HK,西證國際證,2002/01/30,0.195,0.205,0.23,0.252,0.234,22.006,25.398,29.348,-0.006,-0.008,2.12千萬
0,00813.HK,世茂房地產,2006/07/05,32.8,33.515,31.508,29.045,26.735,48.97,51.453,53.423,0.049,0.421,3.37百萬
0,00814.HK,北京京客隆,2008/02/26,1.11,1.1,1.1,1.184,1.342,53.731,52.02,50.384,-0.001,-0.004,36.50萬
0,00815.HK,中國白銀集,2012/12/28,0.58,0.591,0.601,0.654,0.769,43.393,44.872,45.791,-0.006,-0.006,1.27百萬
0,00816.HK,華電福新,2012/06/28,2.46,2.455,1.569,1.469,1.468,92.132,90.555,87.525,0.236,0.289,2.04千萬
0,00817.HK,中國金茂,2007/08/17,5.55,5.702,5.402,5.465,5.259,48.537,50.528,51.426,0.032,0.068,1.91千萬
0,00818.HK,高陽科技,1997/12/22,0.86,0.827,0.851,0.965,1.177,59.754,55.74,51.794,0.009,-0.001,72.60萬
0,00819.HK,天能動力,2007/06/11,10.76,10.632,8.433,7.0,6.295,63.601,63.691,63.862,0.441,0.644,10.00百萬
0,00820.HK,匯豐中國翔,2007/07/20,10.26,10.182,9.604,10.22,9.792,72.563,67.841,62.188,0.145,0.16,3.25萬
0,00821.HK,匯盈控股,2001/04/09,248.0,0.25,0.261,0.284,0.432,45.876,46.287,46.362,-0.002,-0.003,2.80萬
0,00822.HK,嘉瑞國際,2007/06/27,0.31,0.316,0.317,0.329,0.37,42.373,44.3,45.854,-0.002,-0.002,12.40萬
0,00823.HK,領展房產基,2005/11/25,65.8,66.75,66.25,70.43,80.653,50.581,50.237,49.292,0.567,0.254,5.81百萬
0,00825.HK,新世界百貨,2007/07/12,1.44,1.432,1.469,1.448,1.404,50.822,49.138,48.58,-0.006,-0.013,1.13百萬
0,00826.HK,天工國際,2007/07/26,2.18,2.236,2.408,2.555,2.612,37.019,38.081,39.293,-0.038,-0.054,2.16百萬
0,00827.HK,玖源集團,2003/07/10,0.077,0.081,0.084,0.115,0.15,43.599,44.282,43.677,-0.001,-0.001,3.08百萬
0,00828.HK,王朝酒業,2005/01/26,0.19,0.206,0.231,0.255,0.473,22.978,28.236,33.023,-0.01,-0.011,42.80萬
